x,z,taille
# Ensemble de particules : N = 100 | d = 0.1 | E_0 = 1 | taille = 0
-4.65,11.95,0
16.25,-10.95,0
8.15,7.95,0
-9.55,-22.45,0
1.35,-23.85,0
-3.95,-12.55,0
-19.85,-18.85,0
13.15,-8.85,0
2.35,-4.25,0
-8.65,-4.55,0
-0.25,-5.65,0
19.55,14.75,0
-12.75,-10.35,0
-16.55,15.25,0
4.15,4.15,0
-21.75,-6.75,0
-19.85,-23.75,0
18.05,1.85,0
-14.65,-6.05,0
7.15,22.55,0
15.35,13.65,0
24.65,3.95,0
-16.65,-21.25,0
12.25,-16.55,0
1.65,-19.05,0
21.95,1.95,0
-14.75,2.65,0
7.75,5.15,0
21.65,6.55,0
13.25,12.75,0
-20.95,-24.55,0
-2.55,-3.95,0
10.25,-18.85,0
-5.55,14.65,0
10.95,14.75,0
-10.75,19.15,0
-1.15,-8.55,0
11.85,0.45,0
21.85,6.25,0
20.35,-1.15,0
16.65,20.75,0
-6.85,-10.15,0
10.55,-11.65,0
21.85,8.55,0
-1.85,7.15,0
-4.15,15.35,0
9.55,-17.05,0
21.65,-19.05,0
17.35,19.75,0
-13.35,24.05,0
-19.45,-10.55,0
1.35,-13.95,0
-7.05,17.15,0
-2.75,22.55,0
-6.75,-3.05,0
3.55,-17.15,0
-19.85,-2.15,0
-1.25,-15.95,0
-22.45,6.75,0
-10.95,-16.95,0
-15.65,8.45,0
-18.35,23.95,0
10.25,-19.15,0
-6.15,-22.75,0
-5.55,18.15,0
12.15,13.95,0
23.45,-2.15,0
-20.05,11.85,0
24.75,16.65,0
-19.45,24.25,0
-18.75,-12.95,0
17.35,12.35,0
-2.45,-22.45,0
-18.55,-12.65,0
2.75,-17.35,0
23.25,-12.95,0
-11.55,-1.75,0
-10.85,17.85,0
15.15,4.45,0
19.45,10.95,0
-20.75,8.95,0
-16.85,-22.75,0
-11.65,0.65,0
23.15,-9.95,0
17.95,-13.25,0
-22.65,-24.75,0
19.15,-11.35,0
12.65,18.75,0
21.05,-11.45,0
15.45,24.05,0
-17.65,-12.85,0
-17.25,-2.55,0
-23.15,4.75,0
-5.85,16.15,0
22.75,10.05,0
8.45,4.85,0
0.65,23.15,0
-12.35,-17.75,0
23.55,17.05,0
-1.85,-3.65,0
-2.15,18.35,0
-8.55,10.25,0
-17.25,0.35,0
4.25,-3.25,0
8.05,19.95,0
14.75,23.95,0
9.95,3.05,0
20.15,-22.95,0
13.25,8.15,0
13.55,-16.95,0
-10.15,15.55,0
-7.15,0.25,0
2.95,21.25,0
-9.75,-20.55,0
1.55,5.45,0
3.15,-0.75,0
21.25,1.95,0
-5.25,-1.55,0
5.45,9.65,0
24.15,-24.95,0
4.05,-11.75,0
-3.55,6.15,0
-10.95,-5.95,0
2.45,10.45,0
-18.25,-21.35,0
-5.35,-17.55,0
9.35,-8.35,0
13.25,-6.35,0
13.25,-0.25,0
-6.15,19.45,0
1.55,-20.85,0
-23.05,7.35,0
-2.55,8.15,0
-8.25,-14.65,0
-11.55,21.65,0
-0.25,-17.95,0
11.75,9.15,0
-5.15,-9.55,0
21.55,5.25,0
3.85,-1.65,0
22.35,17.55,0
-3.75,-20.75,0
-14.65,1.85,0
-17.15,-0.75,0
1.35,-22.45,0
-4.45,9.95,0
-7.25,16.15,0
8.75,11.95,0
10.15,18.05,0
23.35,14.15,0
-9.25,0.05,0
16.55,-2.05,0
-16.15,-1.05,0
19.85,-23.55,0
-1.85,-21.95,0
-0.25,13.75,0
-20.55,-13.35,0
-24.15,-11.05,0
-0.15,10.05,0
18.35,21.15,0
