vx,vz
# Ensemble de particules : N = 160 | d = 3.3e-10 | E_0 = 1.19e-21 | taille = 3.99e-10 | masse = 6.63e-26
-32.3008,-5.29891
-131.934,-83.6265
-51.4599,-11.8276
-13.5161,-101.425
203.703,-146.77
-113.752,-132.667
-140.959,-126.892
114.346,206.477
60.3619,-70.3307
2.13275,8.675
-124.719,-158.331
-20.0539,-24.0064
-100.74,99.2491
-164.409,16.5188
-177.576,-37.2537
-37.9658,-115.58
40.7661,21.4271
168.434,-159.444
68.4196,-337.689
164.603,103.209
-198.965,57.3688
-10.7263,28.2882
88.8021,208.006
-175.839,-154.451
120.658,-60.4591
-71.1091,71.9569
-290.04,-269.594
-31.8545,-65.8599
29.1877,-28.9546
15.2855,23.7457
-101.298,-41.3709
-39.1694,-160.661
-174.866,11.6109
-8.35638,-97.3045
-92.2736,-86.7347
10.693,86.1829
-9.36739,-370.276
-97.7682,-10.58
-65.1077,-0.587427
33.9902,-29.6496
107.535,35.4617
-82.4768,-161.629
-89.8246,1.48204
118.658,67.8228
86.642,-9.45651
98.8542,-73.899
12.791,51.5202
-107.251,58.9034
-125.805,-230.396
183.98,11.5529
-237.832,115.857
100.259,-238.936
-41.9038,45.6906
96.8078,222.238
56.025,-69.2854
-27.2932,-150.543
-134.841,65.2366
59.2571,147.37
132.369,10.3145
104.61,-22.1858
77.1687,36.9713
-16.5501,438.653
-72.0548,53.976
10.4963,-51.3881
82.1439,75.2653
-60.7718,133.705
413,91.4879
38.8815,-306.863
-162.402,73.3727
49.28,-24.7136
-52.0419,-91.6808
210.676,153.374
29.9044,17.7703
-35.5541,231.862
-109.533,96.2514
127.599,25.5822
209.509,264.228
-33.6125,-68.8759
-73.8106,-106.817
120.442,-48.1229
181.902,-39.5146
-116.948,-41.0461
-48.5831,169.07
97.5583,-11.7091
-191.753,-178.686
-31.4663,126.105
-24.5884,88.136
144.899,-41.4555
31.5757,79.4022
-164.178,-47.8778
115.994,-148.929
-220.004,57.5587
-39.2759,-52.2514
11.8565,-32.5939
70.5196,67.0925
206.074,-116.385
13.5368,-14.3075
-18.4849,-76.2366
-184.608,-101.568
39.0647,-39.371
237.573,-224.827
-129.231,-22.2336
-281.757,-67.3988
196.798,87.7622
-157.158,79.8525
-139.098,-41.7846
-85.8256,66.2883
241.561,5.66545
-86.1715,-245.932
221.084,102.557
-7.52492,42.4724
121.548,-68.6444
120.62,-59.5068
125.61,-189.922
-176.018,-129.488
10.6223,-116.735
143.278,-123.693
32.0993,-51.447
190.886,119.904
177.072,44.64
111.034,-139.116
-18.213,153.142
-42.4361,140.536
247.703,24.3818
319.127,161.364
-232.222,106.928
23.2143,224.874
88.7125,27.5295
-93.234,-123.761
110.174,-181.097
95.7806,99.1179
140.644,4.13544
-41.0787,-87.7404
-138.791,195.562
-56.6005,-221.208
-10.9651,-5.68817
50.2544,-17.8442
143.732,-308.422
-59.6526,10.4017
84.2951,260.832
-17.2857,-40.0869
-51.3879,28.8883
-119.69,123.265
16.9359,93.6449
279.342,-135.011
29.3971,-167.843
96.9159,26.6802
-91.2852,-77.7567
-83.0531,73.209
-103.421,-115.471
-32.8562,35.8765
-101.98,-242.079
213.595,-5.2869
-307.712,61.6225
128.617,-136.43
264.096,6.07999
149.054,-21.7945
-45.7561,-128.923
21.586,12.0033
114.563,69.6837
44.0568,-84.5909
-155.797,20.6005
-133.016,219.19
-149.07,26.597
18.0128,-88.6482
-14.7481,97.9257
-22.883,298.828
-209.802,195.378
-286.863,49.7861
-257.263,-32.8955
-364.779,-51.8749
-26.8916,66.4962
-165.716,23.0731
32.3995,190.591
11.073,-122.929
-25.6169,23.5794
88.1161,224.519
-157.989,147.722
-54.8869,76.1675
-160.856,43.2363
-252.346,-4.0093
17.4585,16.8088
-39.9196,279.358
122.143,90.1533
111.439,-109.582
108.663,97.2821
-258.754,50.1177
-68.3562,114.977
-161.897,-156.182
-62.2522,-160.73
-51.6693,110.563
214.375,39.8656
-54.9524,-68.7331
6.86286,115.43
-48.0921,-229.423
-298.822,126.453
141.999,232.378
-76.9053,26.1658
144.868,-69.8821
170.701,113.459
98.949,213.709
-3.35279,-26.7297
0.386842,86.1842
-103.48,182.649
204.786,-166.388
-268.928,116.706
89.3773,-56.202
0.851528,-62.7153
-126.889,128.716
50.5784,-173.059
-141.813,-131.137
-484.096,-30.3451
80.4729,6.63615
39.5551,129.55
160.421,-206.282
-104.867,-81.5738
-12.177,-63.2742
358.641,256.478
118.376,95.3734
79.0151,-177.482
-247.267,16.1867
-7.35533,-32.2122
58.3293,183.339
45.5463,23.1371
-132.981,109.473
-24.7548,22.6184
-260.94,89.3176
118.798,355.758
-44.2058,31.3275
72.2295,5.19006
23.3708,-120.653
37.7761,-41.4273
164.17,27.7943
226.478,208.758
-30.0648,-70.1965
-62.549,-41.937
-54.1969,-61.3018
78.1366,-40.8533
-74.2951,-163.787
194.253,113.538
-25.1225,4.36548
-66.2113,143.919
79.8205,307.519
-142.433,-11.789
-294.227,57.1492
25.8126,-149.414
-60.6784,261.638
-325.478,87.4932
-28.9075,278.356
149.536,274.503
50.7307,118.095
-24.3582,-109.136
116.215,194.296
-139.653,-225.003
-138.032,-9.7557
-85.3457,-237.069
-172.346,-29.4206
-287.942,-94.5915
-131.162,-225.844
-238.415,117.567
82.1221,112.977
-112.262,7.46507
-211.392,263.545
-129.069,-259.012
-7.05387,-190.562
83.8086,-223.228
115.196,24.6897
45.4994,-235.372
74.0153,-62.4493
45.285,-68.5116
-110.645,-107.554
-136.891,16.8451
-310.045,-302.341
5.83085,-165.138
29.9407,29.2445
-281.746,-62.6114
63.7395,220.75
175.961,37.6897
55.1627,152.568
124.955,289.416
76.452,-46.0572
264.33,-121.368
-41.66,115.598
29.4784,-225.504
-13.2563,-473.086
121.42,-8.03895
34.101,-188.64
12.6922,-240.179
135.601,122.372
-89.5972,75.885
1.64208,-191.181
2.73838,62.4377
47.8085,136.539
-110.912,-239.085
32.8841,-152.38
206.588,98.1833
-75.7097,40.4641
34.6715,152.42
-53.5699,-194.018
-84.2683,-49.4689
29.5222,76.426
56.6195,-131.677
103.235,-2.90875
140.254,8.04425
82.254,18.725
6.87673,36.0729
-180.967,12.2501
-79.986,-154.702
-31.5184,-50.7162
-21.9911,183.895
239.193,190.363
58.7715,-7.28339
-97.4443,122.036
-182.761,112.65
2.54673,-86.6304
296.59,143.273
-51.345,218.972
-51.2383,23.857
-51.7547,10.8511
140.388,-145.01
-36.2096,-141.914
-57.1235,-107.401
-87.1941,-99.4683
78.9823,83.3787
53.95,-230.063
140.73,-117.659
90.2594,198.685
177.278,-68.9337
134.267,-209.664
225.026,-352.375
-319.433,-122.35
-41.3792,-174.571
-118.595,40.5568
83.5161,-83.6838
-85.2986,104.099
-144.678,-132.086
-106.68,49.7184
-3.21156,-206.414
34.0148,-88.9854
-221.373,-52.1415
-205.231,-63.0746
-167.356,-109.996
-80.215,10.9513
-45.5428,63.1996
23.1323,-149.845
-109.007,204.495
74.4643,-43.9261
91.6629,53.3607
75.6826,210.178
90.7584,-86.2319
-129.502,22.2305
44.3744,28.4153
-3.05708,217.955
-58.8323,-169.573
-61.9167,-89.3021
-6.98012,95.5772
-9.24711,169.635
-126.947,20.2786
-88.6649,246.621
7.15616,174.829
-97.7952,-163.747
10.0839,80.9793
-102.472,42.392
40.8809,-22.2866
-1.42909,-13.8676
-117.992,-6.93248
31.6444,29.9916
-221.485,-115.441
4.18488,123.284
-85.7076,-155.676
166.046,-97.3586
-329.151,-195.268
106.218,55.8538
78.721,37.234
384.428,-131.492
-89.4085,83.9449
24.6205,-136.365
0.89,252.951
72.0449,71.8356
-26.6884,11.8649
17.476,-161.298
-232.322,97.9636
-39.736,65.4155
11.5529,1.00931
127.466,40.3888
92.4124,125.583
85.8759,-304.819
-159.875,146.817
27.7432,134.794
-7.81555,0.689346
-24.7884,131.401
32.7165,-17.6401
-74.8775,-50.1077
-18.9559,-63.812
-17.9203,38.094
-50.9547,-102.798
210.528,-14.5669
-98.4444,-13.5791
-42.7853,-216.453
-57.3935,11.9212
-264.053,104.375
-132.015,-83.4726
-16.2967,91.3621
125.4,14.4776
-112.315,-29.8759
127.902,80.4866
-199.42,-206.357
73.2043,-66.8574
117.364,292.875
116.299,-0.704343
-5.3046,-152.646
145.627,-151.823
-136.926,-58.0325
20.5671,120.274
240.059,-117.037
316.924,80.3226
-2.70828,199.626
